Viability,Cells,pert_dose,pert_dose_units,sample,ratio,culture_type
0.9391868,HCC1806,0.000228624,ug/mL,T-MMAE,HCC1806 only,monoculture
0.100236,NCIN87,0.000228624,ug/mL,T-MMAE,NCIN87 only,monoculture
0.1141288,NCIN87,0.000228624,ug/mL,T-MMAE,1:01,coculture
0.2199217,HCC1806,0.000228624,ug/mL,T-MMAE,1:01,coculture
0.1664479,NCIN87,0.000228624,ug/mL,T-MMAE,1:02,coculture
0.3887838,HCC1806,0.000228624,ug/mL,T-MMAE,1:02,coculture
0.2786422,NCIN87,0.000228624,ug/mL,T-MMAE,1:05,coculture
0.7178499,HCC1806,0.000228624,ug/mL,T-MMAE,1:05,coculture
0.1908503,NCIN87,0.000228624,ug/mL,T-MMAE,1:20,coculture
0.9463537,HCC1806,0.000228624,ug/mL,T-MMAE,1:20,coculture
0.07941202,HCC1806,0.5,ug/mL,T-MMAE,HCC1806 only,monoculture
0.1096778,NCIN87,0.5,ug/mL,T-MMAE,NCIN87 only,monoculture
0.08081626,NCIN87,0.5,ug/mL,T-MMAE,1:01,coculture
