,T-DM1,Trastuzumab-MMAE
NCIH460_LUNG,0.949304105,0.906663029
NCIH520_LUNG,0.939119849,0.851181867
NCIH522_LUNG,0.816643969,0.546950332
NCIH596_LUNG,0.945472282,0.977935586
NCIH650_LUNG,0.981966611,0.895910269
NCIH661_LUNG,0.946759998,0.647262848
NCIH727_LUNG,0.98479275,1
NCIH747_LARGE_INTESTINE,0.789443528,0.749221836
NCIH838_LUNG,1,0.810666699
NCIH841_LUNG,1,0.824730376
NCIN87_STOMACH,NA,0.345469659
NUGC3_STOMACH,0.954160799,0.812823699
NUGC4_STOMACH,1,0.795804676
OAW42_OVARY,1,0.899433622
OC314_OVARY,0.954529928,0.931194826
OC316_OVARY,0.955015394,0.781944897
OE19_OESOPHAGUS,0.314492261,0.297726969
OE21_OESOPHAGUS,0.940297187,0.875232511
OE33_OESOPHAGUS,0.932899508,0.636514999
ONCODG1_OVARY,1,0.639110138
ONS76_CENTRAL_NERVOUS_SYSTEM,1,0.923177087
OSRC2_KIDNEY,1,1
OUMS23_LARGE_INTESTINE,0.8839194,0.790903145
OV56_OVARY,0.92031398,0.780122815
OV7_OVARY,0.978009202,0.990101076
OVCAR8_OVARY,0.949831357,0.864612279
OVISE_OVARY,0.96834383,0.838525058
OVK18_OVARY,0.961599489,0.916678037
OVTOKO_OVARY,1,0.997928291
PANC0203_PANCREAS,0.986220303,0.806840734
PANC0327_PANCREAS,0.884802859,0.740174624
PANC0403_PANCREAS,0.9637283,0.934427704
PANC0813_PANCREAS,0.906546152,0.770303871
PANC1_PANCREAS,0.993565392,0.903079432
PANC1005_PANCREAS,1,0.925112691
PATU8902_PANCREAS,0.919754936,0.851413239
PATU8988S_PANCREAS,0.934341316,0.587067942
PATU8988T_PANCREAS,1,0.943162551
PC14_LUNG,0.921101116,0.776775568
PC3_PROSTATE,0.89197741,0.77169464
PECAPJ15_UPPER_AERODIGESTIVE_TRACT,0.891216368,0.75632234
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,0.957277961,0.797831093
PECAPJ49_UPPER_AERODIGESTIVE_TRACT,0.916262688,0.75820005
PK1_PANCREAS,0.92892888,0.757338956
PK45H_PANCREAS,0.984623971,0.99000008
PK59_PANCREAS,0.974330482,0.866009989
PLCPRF5_LIVER,0.867905672,0.721534307
PSN1_PANCREAS,0.860807657,0.690206189
QGP1_PANCREAS,1,0.878039227
RCC10RGB_KIDNEY,NA,0.979072772
RCM1_LARGE_INTESTINE,0.962199754,0.949496408
RD_SOFT_TISSUE,1,0.9225672
RERFLCAD1_LUNG,1,0.832335306
RERFLCAD2_LUNG,0.991382149,0.721265419
RERFLCAI_LUNG,0.970886035,0.855603866
RERFLCKJ_LUNG,0.983446672,0.853527237
RERFLCMS_LUNG,0.947608832,0.923660566
RH30_SOFT_TISSUE,1,0.761841717
RKN_SOFT_TISSUE,0.932728786,0.848294008
RKO_LARGE_INTESTINE,0.98105749,0.592506215
RL952_ENDOMETRIUM,0.997015915,0.891302558
RMGI_OVARY,0.789315365,0.536043739
RMUGS_OVARY,0.890495098,0.890965348
RT112_URINARY_TRACT,0.90658012,0.649466808
RT4_URINARY_TRACT,0.801997182,0.468827621
RVH421_SKIN,0.992898072,0.667919599
S117_THYROID,1,0.798328928
SBC5_LUNG,0.960931279,0.831426203
SCABER_URINARY_TRACT,0.878578292,0.57503697
SCC25_UPPER_AERODIGESTIVE_TRACT,0.997417832,0.900237967
SF126_CENTRAL_NERVOUS_SYSTEM,0.990000038,0.994739006
SF295_CENTRAL_NERVOUS_SYSTEM,1,1
SF539_CENTRAL_NERVOUS_SYSTEM,0.843568227,0.879002415
SH10TC_STOMACH,0.979491075,0.725628156
SH4_SKIN,1,0.96836287
SIMA_AUTONOMIC_GANGLIA,0.968788335,0.995518939
SJSA1_BONE,0.858449037,0.827212807
SKES1_BONE,0.925532147,0.978515687
SKHEP1_LIVER,0.989999276,0.929087706
SKLU1_LUNG,NA,0.950849181
SKMEL2_SKIN,0.897530265,0.601759862
SKMEL24_SKIN,0.999096012,1
SKMEL3_SKIN,0.917516564,0.866390728
SKMEL30_SKIN,0.956690061,0.938806679
SKMEL5_SKIN,0.993351059,0.647983914
SKMES1_LUNG,0.999652371,0.950026343
SKNAS_AUTONOMIC_GANGLIA,0.916903029,0.752552269
SKNBE2_AUTONOMIC_GANGLIA,0.954151195,0.981611277
SKOV3_OVARY,0.321896284,0.280142795
SKUT1_SOFT_TISSUE,0.894663701,0.746860189
SNB75_CENTRAL_NERVOUS_SYSTEM,0.853257209,0.762666931
SNGM_ENDOMETRIUM,0.978674233,0.80916056
SNU1041_UPPER_AERODIGESTIVE_TRACT,1,0.860377101
SNU1066_UPPER_AERODIGESTIVE_TRACT,0.838266731,0.804258503
SNU1076_UPPER_AERODIGESTIVE_TRACT,1,0.865699647
SNU1077_ENDOMETRIUM,1,0.825563798
SNU1079_BILIARY_TRACT,0.907969104,0.967954155
SNU1105_CENTRAL_NERVOUS_SYSTEM,0.957763978,0.784549503
SNU1196_BILIARY_TRACT,0.94951123,0.61525711
SNU1214_UPPER_AERODIGESTIVE_TRACT,0.924018711,0.944529571
SNU213_PANCREAS,0.867064659,0.708846951
SNU245_BILIARY_TRACT,0.775539967,0.69925942
SNU308_BILIARY_TRACT,0.785877684,0.758802494
SNU398_LIVER,1,0.7595408
SNU407_LARGE_INTESTINE,0.863132901,0.912375692
SNU410_PANCREAS,0.996950298,0.97689886
SNU423_LIVER,1,0.906094642
SNU449_LIVER,1,0.916867608
SNU46_UPPER_AERODIGESTIVE_TRACT,0.892754432,0.721639396
SNU466_CENTRAL_NERVOUS_SYSTEM,0.834603779,0.654995272
SNU601_STOMACH,0.953739306,0.879080062
SNU61_LARGE_INTESTINE,0.993260153,0.664951127
SNU668_STOMACH,0.879692002,0.885982871
SNU685_ENDOMETRIUM,0.781136797,0.704879751
SNU719_STOMACH,1,0.867132188
SNU761_LIVER,1,0.982720666
SNU81_LARGE_INTESTINE,0.878659639,0.733397996
SNU840_OVARY,0.928232928,0.848824557
SNU869_BILIARY_TRACT,0.876021358,0.868136479
SNU886_LIVER,0.964823811,0.898763952
SNUC2A_LARGE_INTESTINE,0.955062531,0.964930202
SNUC4_LARGE_INTESTINE,0.917238388,0.918616119
SQ1_LUNG,0.957093089,0.819998394
SUIT2_PANCREAS,0.992690605,0.943690552
SW1088_CENTRAL_NERVOUS_SYSTEM,0.840683395,0.804162543
SW1271_LUNG,NA,0.890073998
SW1353_BONE,1,1
SW1573_LUNG,0.908947912,0.83802271
SW1710_URINARY_TRACT,1,0.815575827
SW1990_PANCREAS,1,0.995312783
SW48_LARGE_INTESTINE,NA,NA
SW480_LARGE_INTESTINE,0.990070359,0.836602103
SW579_THYROID,0.907104124,0.836234188
SW620_LARGE_INTESTINE,0.916733211,0.806305927
SW780_URINARY_TRACT,0.791504785,0.68807868
SW837_LARGE_INTESTINE,0.972169298,0.913466521
SW900_LUNG,0.931874058,0.886998001
SW948_LARGE_INTESTINE,0.891092398,0.990000177
T24_URINARY_TRACT,1,1
T3M10_LUNG,0.951676896,0.922219123
T47D_BREAST,0.928388087,0.793875062
T98G_CENTRAL_NERVOUS_SYSTEM,0.999217599,0.963302599
TCCPAN2_PANCREAS,0.904024959,0.710753456
TCCSUP_URINARY_TRACT,0.909528033,0.823839278
TE1_OESOPHAGUS,0.941414462,0.952175623
TE10_OESOPHAGUS,0.946850481,0.915802757
TE11_OESOPHAGUS,0.919600534,0.727964502
TE14_OESOPHAGUS,0.735112683,0.698222784
TE4_OESOPHAGUS,0.455477763,0.483981444
TE5_OESOPHAGUS,0.877110272,0.59946094
TE6_OESOPHAGUS,0.915869367,0.729799591
TE8_OESOPHAGUS,0.958514288,0.906759123
TE9_OESOPHAGUS,0.818902977,0.649425085
TEN_ENDOMETRIUM,0.864676594,0.617820758
TM31_CENTRAL_NERVOUS_SYSTEM,1,0.996698353
TM87_SOFT_TISSUE,0.868435155,0.87745119
TOV112D_OVARY,0.815733632,0.548859548
TOV21G_OVARY,0.882135363,0.729766237
TT_OESOPHAGUS,0.887790995,0.740310783
TT_THYROID,0.985761861,0.994730609
TT2609C02_THYROID,0.984357649,0.957870598
TUHR4TKB_KIDNEY,0.957680535,0.933299793
U118MG_CENTRAL_NERVOUS_SYSTEM,1,0.834888174
U251MG_CENTRAL_NERVOUS_SYSTEM,0.958238208,0.880438792
U2OS_BONE,0.981534471,1
UACC257_SKIN,0.94926919,0.977443441
UACC62_SKIN,0.923048301,0.882692224
UBLC1_URINARY_TRACT,0.877786681,0.660065934
UMUC1_URINARY_TRACT,1,0.64704506
UO31_KIDNEY,1,1
VMCUB1_URINARY_TRACT,0.89772677,0.764679159
VMRCRCW_KIDNEY,0.942214949,0.905987681
VMRCRCZ_KIDNEY,1,0.994587813
WM1799_SKIN,0.938825821,0.832068658
WM2664_SKIN,0.997293706,0.978243009
WM793_SKIN,0.962811862,0.972889898
WM88_SKIN,1,0.888240399
WM983B_SKIN,0.996738643,0.912279264
YAPC_PANCREAS,0.904641139,0.898983753
YD10B_UPPER_AERODIGESTIVE_TRACT,0.950608824,0.896360585
YD15_SALIVARY_GLAND,0.90510581,0.768557177
YD38_UPPER_AERODIGESTIVE_TRACT,0.990094055,0.859573755
YD8_UPPER_AERODIGESTIVE_TRACT,1,0.897451264
YH13_CENTRAL_NERVOUS_SYSTEM,0.894135825,0.916432267
YKG1_CENTRAL_NERVOUS_SYSTEM,0.998263672,0.767664803
ZR751_BREAST,0.919475321,0.787349559
