feature,coef,qval
GE_C2orf15,-0.168348726,1.931092639
GE_LOXL2,0.168234495,1.928680882
GE_ARHGEF16,-0.168014201,1.921505302
GE_GRHL1,-0.167867309,1.917060049
GE_WWP1,-0.167752462,1.915669752
GE_PRKCD,-0.167774911,1.915669752
GE_CLDN7,-0.167748779,1.915669752
GE_MAB21L4,-0.167705555,1.915064706
GE_SRGAP2,0.167634298,1.913419066
GE_FCGR1A,-0.167518799,1.910133869
GE_MAP4K4,0.167479752,1.909678686
GE_AP1M1,0.167337888,1.906403391
GE_CCDC185,-0.167358785,1.906403391
GE_MAP7,-0.167290841,1.905647109
GE_CCL15,-0.167250894,1.905151562
GE_HPGD,-0.166881779,1.893475819
GE_NLGN2,0.166887181,1.893475819
GE_GADD45A,0.166830173,1.89254704
GE_DNAJC8,0.166774428,1.891464018
GE_KATNAL1,0.166714175,1.891181643
GE_KRT19,-0.166716938,1.891181643
GE_PLA2G12A,-0.166618156,1.889225278
GE_LRRC8C,0.166608698,1.889225278
GE_ANK3,-0.166378024,1.881695507
GE_ELF1,-0.166265422,1.878514137
GE_NUDT8,-0.166167095,1.875857834
GE_GRHL3,-0.165765514,1.863027672
GE_TEDDM1,-0.165790605,1.863027672
GE_HEG1,0.165734817,1.862853722
GE_PIP4P2,0.165477217,1.854644208
GE_CYP4F12,-0.165458893,1.854644208
GE_PLEKHA6,-0.165220135,1.846857361
GE_IRF6,-0.165073365,1.843379641
GE_CREB3L4,-0.165076631,1.843379641
GE_RDH13,-0.164892938,1.837733293
GE_MPP7,-0.164829294,1.837283957
GE_STK17A,0.164842094,1.837283957
GE_FER,0.16455696,1.828293509
GE_SEMA4A,-0.164522633,1.827974741
GE_CASZ1,-0.164440721,1.827556539
GE_UBAC2,-0.164427375,1.827556539
GE_SPINT2,-0.16446205,1.827556539
GE_CD320,0.164409358,1.827556539
GE_ITGAL,-0.164249617,1.823588128
GE_PI4K2A,0.164257146,1.823588128
GE_JMJD6,0.164132585,1.821990274
GE_SRR,0.164130069,1.821990274
GE_ASCL4,-0.164156008,1.821990274
GE_MUCL1,-0.164016348,1.818772492
GE_RASD1,-0.163880357,1.815010012
GE_MITD1,0.163852575,1.815010012
GE_C2orf72,-0.163837588,1.815010012
GE_ACY3,-0.163746532,1.812612902
GE_BAG2,0.163574244,1.807273852
GE_DEPTOR,-0.163525007,1.80676153
GE_AXL,0.163510414,1.80676153
GE_CD44,0.163342483,1.801947967
GE_SGK1,0.163298898,1.801947967
GE_KBTBD7,-0.163310589,1.801947967
GE_MARCHF4,0.163278504,1.801947967
GE_TTC1,0.163141771,1.797896683
GE_BFAR,0.163106371,1.79750552
GE_N4BP3,-0.163027547,1.795545271
GE_PKP3,-0.162997947,1.795360599
GE_TCEAL4,0.162968763,1.795189315
GE_CD24,-0.16294101,1.795068058
GE_PLBD2,0.162840926,1.793213266
GE_MIS12,0.162847949,1.793213266
GE_TMEM184A,-0.162788904,1.792212628
GE_MCFD2,0.162732454,1.791051235
GE_USP13,0.162618439,1.789552711
GE_SEC22C,0.162634687,1.789552711
GE_LARP6,0.162649643,1.789552711
GE_ADPRM,0.162586622,1.789273127
GE_PGK2,-0.162392044,1.783136068
GE_DARS1,0.162089474,1.773127099
GE_TIGAR,0.161944438,1.768783422
GE_GSE1,-0.16150709,1.756513222
GE_RBM47,-0.161539218,1.756513222
GE_CRTAP,0.161506282,1.756513222
GE_MXRA7,0.161513541,1.756513222
GE_MB,-0.161337346,1.751324233
GE_EPHA1,-0.161170706,1.746221433
GE_YWHAE,0.161142521,1.746064094
GE_GP9,-0.161110513,1.74576878
GE_DTX4,-0.161017863,1.743308074
GE_MUC1,-0.16083216,1.737530182
GE_ARHGAP32,-0.160665101,1.734939233
GE_CIB3,-0.160678389,1.734939233
GE_F5,-0.160666067,1.734939233
GE_C17orf113,-0.160731304,1.734939233
GE_ITGB7,-0.160486995,1.730157452
GE_MYO6,-0.160483793,1.730157452
GE_MACF1,0.1604,1.729459976
GE_GDF11,0.16041693,1.729459976
GE_DNAJB4,0.160394053,1.729459976
GE_ERBB3,-0.160270597,1.728252402
GE_CORO2B,0.160334866,1.728252402
GE_MAP3K12,0.16030874,1.728252402
GE_CLDN3,-0.160267135,1.728252402
GE_PGAM1,0.160130301,1.724215272
GE_HADH,-0.160035049,1.721655416
GE_PLSCR3,0.159849921,1.715910064
GE_BLNK,-0.15977373,1.714027775
GE_KXD1,0.159734091,1.713439431
GE_ALDH3A1,-0.159648298,1.711663279
GE_PTTG1,0.159637979,1.711663279
GE_KIAA1522,-0.159314255,1.701836729
GE_CREG2,-0.159318754,1.701836729
GE_FRMD6,0.159265885,1.70174266
GE_TIMM22,0.159280824,1.70174266
GE_FBXO17,0.159199778,1.700213395
GE_RANGRF,0.159084845,1.697762736
GE_MOB3A,0.159085784,1.697762736
GE_WNK2,-0.159025879,1.697282402
GE_SOWAHB,-0.159038823,1.697282402
GE_ELMO3,-0.158806863,1.690360687
GE_PRSS22,-0.158763394,1.689625932
GE_ACTR1A,0.158699922,1.688185931
GE_MAMLD1,0.158539966,1.683351215
GE_CRK,0.158485156,1.682215753
GE_NIPAL2,-0.158427173,1.680967936
GE_OVGP1,-0.158394102,1.680594669
GE_CMTM4,-0.158302802,1.678174927
GE_BTNL8,-0.158180683,1.674673761
GE_STX8,0.158155957,1.674590749
GE_PSAPL1,-0.1580544,1.671811467
GE_TM9SF2,-0.157981258,1.670809276
GE_PYM1,-0.157993711,1.670809276
GE_WRAP53,0.157916636,1.66932348
GE_KCNK5,-0.15770558,1.662710293
GE_DOP1B,-0.157618861,1.660452395
GE_SDCBP,0.157572286,1.659598321
GE_RHBG,-0.157494676,1.657658436
GE_C8orf58,0.157406113,1.655335725
GE_RPF1,0.15734803,1.654077647
GE_SENP3,0.157252176,1.652268383
GE_TRIM31,-0.157271362,1.652268383
GE_BTN2A2,0.157222904,1.652013418
GE_RHOV,-0.157076819,1.647775375
GE_PSD4,-0.157013848,1.647775375
GE_MYRFL,-0.157049935,1.647775375
GE_CEACAM3,-0.157026745,1.647775375
GE_UBA5,0.156912071,1.64498895
GE_AMZ2,0.156837102,1.64313667
GE_HOOK2,-0.156733419,1.641341683
GE_CACFD1,-0.156720376,1.641341683
GE_FAM110C,-0.156758342,1.641341683
GE_DMRT3,-0.1566981,1.641319978
GE_WWTR1,0.156538397,1.637234706
GE_RASAL1,-0.156537402,1.637234706
GE_ABHD18,-0.156444164,1.634744332
GE_WDR81,0.156418249,1.634592304
GE_IL17RB,-0.156378296,1.634168499
GE_SUDS3,-0.156363069,1.634168499
GE_OSBPL7,-0.156273795,1.634039129
GE_ENO1,0.156305961,1.634039129
GE_BAG3,0.156327256,1.634039129
GE_HCAR1,-0.156292975,1.634039129
GE_ZZZ3,0.156132371,1.63208273
GE_EXPH5,-0.156149041,1.63208273
GE_FOSL1,0.156135595,1.63208273
GE_FJX1,0.15618689,1.63208273
GE_CDK7,0.156048821,1.631206229
GE_ASAP1,0.156063922,1.631206229
GE_CYB5D1,0.156043652,1.631206229
GE_LRRC1,-0.15590856,1.627256872
GE_KIF3C,0.155840922,1.626372528
GE_TMEM241,-0.155857008,1.626372528
GE_FMNL3,0.155804922,1.625853387
GE_C1orf52,0.155689766,1.622595161
GE_ERMP1,-0.155609282,1.621237215
GE_PTPN14,0.155608621,1.621237215
GE_CNKSR1,-0.155453778,1.617330043
GE_JTB,-0.155464085,1.617330043
GE_EPPK1,-0.155336055,1.613985501
GE_DNAJB5,0.155202115,1.610083331
GE_CCDC120,-0.155124661,1.608846358
GE_FBP1,-0.155143677,1.608846358
GE_TUBB6,0.155084439,1.608357564
GE_LRRC3C,-0.155069024,1.608357564
GE_SLC15A1,-0.155016701,1.607267529
GE_TEAD1,0.154979352,1.606692519
GE_CDC27,0.15487221,1.605837818
GE_PIK3C3,0.154884786,1.605837818
GE_TMED5,0.15488516,1.605837818
GE_SNTN,-0.154930297,1.605837818
GE_IFFO1,0.154822774,1.605388838
GE_BBX,0.15477733,1.605388838
GE_KCNC3,-0.154792647,1.605388838
GE_UBLCP1,0.154806866,1.605388838
GE_DENND2D,-0.154659202,1.60202807
GE_AC008397.1,-0.154565102,1.599494372
GE_KCTD7,0.15448086,1.59729988
GE_MPZL2,-0.154419165,1.596491291
GE_AQP7,-0.154416695,1.596491291
GE_MPZL3,-0.154300024,1.593183564
GE_ABO,-0.154253575,1.592284952
GE_KRTAP5.2,-0.154193906,1.590932455
GE_IKZF2,-0.154023486,1.585785895
GE_GATA3,-0.153859618,1.582801527
GE_EIF5A,0.153912038,1.582801527
GE_RASSF6,-0.153855725,1.582801527
GE_TACSTD2,-0.153895736,1.582801527
GE_ARFGEF3,-0.153693763,1.578635861
GE_ESX1,-0.153703443,1.578635861
GE_ICA1,-0.153586375,1.575987341
GE_ABLIM1,-0.15355622,1.575987341
GE_CYP39A1,-0.153557654,1.575987341
GE_RAB11FIP1,-0.153459889,1.573380029
GE_DHX33,0.153282343,1.569059249
GE_FGD3,-0.153273483,1.569059249
GE_NET1,-0.153298762,1.569059249
GE_ADAP1,-0.153240679,1.56861806
GE_TSR1,0.153171374,1.566932333
GE_HAUS6,0.153056105,1.563681462
GE_FAM83F,-0.152886704,1.558590845
