feature,coef,log10(q.val)
GE_GRK2,-0.182025856,2.634848927
GE_NEFL,0.181885867,2.62992609
GE_SEC31B,0.18183278,2.629298837
GE_GRTP1,-0.181848268,2.629298837
GE_BTN2A1,0.181784973,2.628119984
GE_ABR,0.18169034,2.625039598
GE_MOB3A,0.18151213,2.618570353
GE_CD99,0.181248323,2.611503729
GE_KRT33A,-0.181286219,2.611503729
GE_BTN3A3,0.181244431,2.611503729
GE_ELF5,-0.181256552,2.611503729
GE_H2BC8,-0.181289229,2.611503729
GE_ARHGAP17,0.181145656,2.608257579
GE_MTARC1,-0.181079177,2.606318586
GE_PRR15L,-0.180980479,2.603076448
GE_EFHC1,0.180898124,2.601242462
GE_MACC1,-0.18089926,2.601242462
GE_MAB21L4,-0.180759896,2.596403809
GE_PLXNB1,-0.18042181,2.58350732
GE_NME4,0.180326401,2.580405305
GE_EVI2A,0.180244977,2.577867208
GE_STX19,-0.180216311,2.577453338
GE_YBEY,0.179918698,2.566218301
GE_NFU1,0.179829641,2.563810803
GE_MYO6,-0.179822106,2.563810803
GE_LRRC29,0.179802337,2.563751967
GE_TNK1,-0.179660555,2.558791986
GE_RIOX1,-0.179592981,2.557544354
GE_TMEM216,-0.179607175,2.557544354
GE_ANK3,-0.179521068,2.555389449
GE_CALML5,-0.179445328,2.553080935
GE_RFTN1,0.179421323,2.552846446
GE_BTNL8,-0.179380163,2.552474203
GE_GPR146,0.179366191,2.552474203
GE_AQP3,-0.179357734,2.552474203
GE_AP1S2,0.179266144,2.5495273
GE_GJD3,-0.17919891,2.547556303
GE_FUT3,-0.179108904,2.544673547
GE_UPK1B,-0.179081353,2.544290441
GE_DENND1C,-0.179018913,2.542510342
GE_MAGED2,0.178907875,2.538786513
GE_ZFP36L2,-0.178882113,2.53847257
GE_C4orf19,-0.178834051,2.537979943
GE_TUBA1A,0.178840025,2.537979943
GE_CRTAP,0.178800887,2.537367116
GE_KRT4,-0.178709819,2.534440188
GE_CALU,0.178688108,2.53428328
GE_SLC66A1,0.178631712,2.532946924
GE_PSMB6,0.178619154,2.532946924
GE_CPAMD8,-0.178534915,2.530291422
GE_CEP19,0.178423409,2.526548826
GE_ZBTB18,0.178383165,2.52635183
GE_NRARP,-0.178393609,2.52635183
GE_GBE1,0.178349378,2.525772408
GE_SMIM22,-0.178333433,2.525772408
GE_IFT74,0.178312173,2.525624945
GE_OSTM1,0.178185077,2.5212599
GE_AL162231.1,0.178086143,2.518018195
GE_TBC1D30,-0.178014648,2.515869261
GE_GIT2,0.177934933,2.513393352
GE_SH3BGRL2,-0.177895512,2.512519861
GE_GOLT1B,0.177749781,2.509629985
GE_N4BP3,-0.17773589,2.509629985
GE_LRP12,0.177773975,2.509629985
GE_MED8,0.177799485,2.509629985
GE_NAA38,0.177748715,2.509629985
GE_TTC37,0.177594229,2.504691361
GE_KLRF2,-0.177502422,2.501734029
GE_TRAPPC3,0.177483021,2.50164975
GE_H2AW,-0.177454162,2.501189218
GE_TTBK2,0.177345395,2.498241226
GE_MALL,-0.177351692,2.498241226
GE_SMG6,0.177316175,2.49776406
GE_GALNT9,0.177292,2.497485935
GE_PIK3CD,0.177271507,2.497352833
GE_NMU,-0.177153549,2.493357421
GE_ANKRD37,0.177106911,2.492187467
GE_FAM160A1,-0.177000354,2.488645276
GE_POC5,0.176920084,2.486144252
GE_AC008397.1,-0.176857036,2.484324517
GE_HABP4,0.176531002,2.47211623
GE_JAG2,-0.176445448,2.46941166
GE_RANGRF,0.176142759,2.458819276
