x,rho,beta,p.val,n,ns,feature.set,feature,q.val,y,detected_count,neg_log10_qval
EXP_TMEM59,-0.182834527722372,-0.06264401881694,4.44419151646873e-06,622,43,EXP,TMEM59,0.000399386253567762,temozolomide::O6-benzylguanine::100::5,3,3.39860688714285
EXP_RPL22,0.165572024145129,0.0667220198433636,3.3287787318445e-05,622,35,EXP,RPL22,0.00130790038777937,temozolomide::O6-benzylguanine::100::5,3,2.8834253314591
EXP_CHD5,0.102168526419361,0.0283577204596125,0.0107838851686572,622,15,EXP,CHD5,0.0521413579683531,temozolomide::O6-benzylguanine::100::5,2,1.28281766226469
EXP_ERRFI1,-0.105307947320505,-0.0139308709235622,0.00857872160279812,622,15,EXP,ERRFI1,0.0448370111922918,temozolomide::O6-benzylguanine::100::5,2,1.34836334491642
EXP_AMPD2,0.106415382601559,0.0313497499885361,0.00790268951434124,622,20,EXP,AMPD2,0.0426977740149649,temozolomide::O6-benzylguanine::100::5,3,1.36959476568263
EXP_SRSF4,0.116724254338995,0.0474015406123103,0.00355449863668498,622,22,EXP,SRSF4,0.0250953842318398,temozolomide::O6-benzylguanine::100::5,3,1.6004061505103
EXP_KCNC4,0.103961727967488,0.0309241166065896,0.00946965381701286,622,23,EXP,KCNC4,0.047915484048647,temozolomide::O6-benzylguanine::100::5,4,1.31952412019246
EXP_WDR77,0.0970393956241834,0.0356540338254353,0.0154777369326775,622,20,EXP,WDR77,0.0670503501224581,temozolomide::O6-benzylguanine::100::5,2,1.1735989500144
EXP_S100PBP,0.13760846277579,0.0516448382108704,0.000578655346508991,622,28,EXP,S100PBP,0.00764377019489398,temozolomide::O6-benzylguanine::100::5,3,2.11669237820908
EXP_DLGAP3,0.149326759199017,0.0591922307676152,0.000185723545431521,622,19,EXP,DLGAP3,0.00376234928065413,temozolomide::O6-benzylguanine::100::5,4,2.42454088884429
EXP_SFPQ,0.168732864193479,0.0818376587183872,2.3360083107511e-05,622,35,EXP,SFPQ,0.00109326483130581,temozolomide::O6-benzylguanine::100::5,4,2.96127462227436
EXP_ARHGEF2,0.099468211726543,0.0255512175208273,0.0130684831603788,622,19,EXP,ARHGEF2,0.0593208014493819,temozolomide::O6-benzylguanine::100::5,3,1.22679299009995
EXP_MEF2D,0.115125734318029,0.034071231906404,0.00404006120147242,622,21,EXP,MEF2D,0.027129107312749,temozolomide::O6-benzylguanine::100::5,4,1.56656449652685
EXP_SRM,0.120321320315349,0.0374304797971508,0.00264974465227058,622,28,EXP,SRM,0.0206777994919683,temozolomide::O6-benzylguanine::100::5,2,1.68449568024658
EXP_FBXO6,-0.122470828776896,-0.0268936759049169,0.00221488278431885,622,25,EXP,FBXO6,0.0183378391408715,temozolomide::O6-benzylguanine::100::5,3,1.73665184121153
EXP_MAD2L2,0.115317799076475,0.0357330581708227,0.0039787029911481,622,19,EXP,MAD2L2,0.0268129984186068,temozolomide::O6-benzylguanine::100::5,3,1.5716546174292
EXP_DNAJC6,0.131411515391076,0.0279439794582866,0.00101961513913686,622,24,EXP,DNAJC6,0.0111497720231179,temozolomide::O6-benzylguanine::100::5,4,1.95273401244668
EXP_MIIP,0.0960726409069126,0.0366948999090872,0.0165402438321122,622,18,EXP,MIIP,0.0700264624294093,temozolomide::O6-benzylguanine::100::5,2,1.15473781262377
EXP_SMG7,0.110200322931353,0.0455945561941494,0.00593695019523491,622,23,EXP,SMG7,0.0352565109133546,temozolomide::O6-benzylguanine::100::5,5,1.45276066895256
EXP_PRDM2,0.128354573885114,0.0445062123832955,0.00133664590997022,622,21,EXP,PRDM2,0.0132294274451944,temozolomide::O6-benzylguanine::100::5,3,1.87845895118464
EXP_RO60,0.105766024180314,0.0392249203301605,0.00829307217750956,622,21,EXP,RO60,0.043922086031042,temozolomide::O6-benzylguanine::100::5,4,1.35731704173063
EXP_SRSF11,0.10402159357172,0.0359811736124181,0.0094283497931883,622,20,EXP,SRSF11,0.047803655521236,temozolomide::O6-benzylguanine::100::5,4,1.32053889183978
EXP_ZBTB17,0.101960175495264,0.0422042948313187,0.0109466193810003,622,20,EXP,ZBTB17,0.0526903516928777,temozolomide::O6-benzylguanine::100::5,4,1.27826890262732
EXP_TFAP2E,0.0942917681684448,0.0343246434431167,0.0186656433872401,622,16,EXP,TFAP2E,0.0757197986041562,temozolomide::O6-benzylguanine::100::5,3,1.12079054982208
EXP_TTF2,0.153584328037637,0.0504395603872911,0.000120299285038052,622,35,EXP,TTF2,0.00284772493454098,temozolomide::O6-benzylguanine::100::5,3,2.54550196207879
EXP_KIF21B,0.141135054118959,0.0275839498806418,0.0004147679482713,622,20,EXP,KIF21B,0.00623024808766197,temozolomide::O6-benzylguanine::100::5,4,2.20549465944718
EXP_MAP7D1,0.088670330006352,0.0276431613447972,0.0270122638659432,622,17,EXP,MAP7D1,0.0970591658900701,temozolomide::O6-benzylguanine::100::5,3,1.01296344525746
EXP_OSCP1,-0.0881154863314596,-0.027445648728029,0.0279883876605791,622,16,EXP,OSCP1,0.0994037858998285,temozolomide::O6-benzylguanine::100::5,1,1.00259707471643
EXP_GNPAT,0.104340088610696,0.0485257842905335,0.009211289098979,622,23,EXP,GNPAT,0.0470876639416793,temozolomide::O6-benzylguanine::100::5,3,1.32709285473468
EXP_MTR,0.149769072997472,0.0554035867835363,0.00017762529189347,622,32,EXP,MTR,0.00365082640698318,temozolomide::O6-benzylguanine::100::5,5,2.43760881681243
EXP_SIPA1L2,-0.0929450876303489,-0.0166465812253746,0.0204275154668016,622,20,EXP,SIPA1L2,0.0802984815755267,temozolomide::O6-benzylguanine::100::5,2,1.09529266704517
EXP_KMO,0.141058584190887,0.031863606755667,0.000417807883630725,622,14,EXP,KMO,0.00624739388411123,temozolomide::O6-benzylguanine::100::5,3,2.204301111902
EXP_RIMS3,0.167995886505656,0.0359338714090668,2.53856244501069e-05,622,29,EXP,RIMS3,0.0011376395890837,temozolomide::O6-benzylguanine::100::5,4,2.94399530319884
EXP_AKT3,0.133805551735539,0.019765365165355,0.000821511479823966,622,36,EXP,AKT3,0.00964254399440138,temozolomide::O6-benzylguanine::100::5,4,2.01580837097557
EXP_SLAMF1,0.102756328610292,0.0379116451146461,0.0103362830511798,622,6,EXP,SLAMF1,0.0508580244422974,temozolomide::O6-benzylguanine::100::5,2,1.29364051381176
EXP_CD48,0.151398233526151,0.0230970637748014,0.000150565664243753,622,14,EXP,CD48,0.00326547740359204,temozolomide::O6-benzylguanine::100::5,3,2.48605331711812
EXP_IGSF21,0.124855010808387,0.0489768085996011,0.00180957077038634,622,11,EXP,IGSF21,0.0161078494023589,temozolomide::O6-benzylguanine::100::5,5,1.79296243940917
EXP_RBBP5,0.105301834389482,0.0486955415006753,0.00858259213944195,622,22,EXP,RBBP5,0.0448370111922918,temozolomide::O6-benzylguanine::100::5,5,1.34836334491642
