"","ccle_name","GE_MCL1","GE_BCL2L1","XPR_MCL1","XPR_BCL2L1","pert1","pert2","dose1","dose2","anchor.fitted","library.fitted","combination.fitted"
"20130","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.000506,0.996825506502588,1,0.229708340976853
"20131","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.001519,0.951498114408854,1,0.824940774789669
"20132","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.001519,0.951498114408854,1,0.847492342942553
"20133","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.001519,0.951498114408854,1,0.920748332803636
"20134","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.001519,0.951498114408854,1,0.523371239341774
"20135","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.001519,0.951498114408854,1,0.0411138044108551
"20136","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.004556,0.551233865406384,1,0.491548331825102
"20137","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.004556,0.551233865406384,1,0.36913000025876
"20138","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.004556,0.551233865406384,1,0.263146891484394
"20139","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.004556,0.551233865406384,1,0.0883932686137606
"20140","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.004556,0.551233865406384,1,0.014999901799064
"20141","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.01367,0.0713560534629993,1,0.0637786718216028
"20142","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.01367,0.0713560534629993,1,0.0531161963387509
"20143","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.01367,0.0713560534629993,1,0.0121076218060243
"20144","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.01367,0.0713560534629993,1,0.00530501721384671
"20145","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.01367,0.0713560534629993,1,1.35075887518154e-19
"20146","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.041,0.0047883982529102,1,0.0196915349155613
"20147","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.041,0.0047883982529102,1,0.0130311540158516
"20148","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.041,0.0047883982529102,1,0.000607741133783366
"20149","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.041,0.0047883982529102,1,0.000527499521937848
"20150","HAC2_OVARY",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.041,0.0047883982529102,1,1.65131306189479e-19
"20151","HDMB03_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.000506,0.848603741343531,0.99480136050258,0.90883462097108
"20152","HDMB03_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.000506,0.848603741343531,0.984938003716824,0.867634394995338
"20153","HDMB03_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.000506,0.848603741343531,0.957145243442403,0.899664126778602
"20154","HDMB03_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.000506,0.848603741343531,0.884151871523626,0.677163791972907
"20155","HDMB03_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.000506,0.848603741343531,0.72273259661367,0.247172258504353
"20156","HDMB03_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.001519,0.804319144827051,0.99480136050258,0.91162103950905
"20157","HDMB03_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.0137,0.001519,0.804319144827051,0.984938003716824,0.8896517230766
"20158","HDMB03_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.04111,0.001519,0.804319144827051,0.957145243442403,0.989608523276038
"20159","HDMB03_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.1233,0.001519,0.804319144827051,0.884151871523626,0.647835114500064
"20160","HDMB03_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.37,0.001519,0.804319144827051,0.72273259661367,0.0783240675424564
"20161","HDMB03_CENTRAL_NERVOUS_SYSTEM",NA,NA,NA,NA,"AZD5991","A-1331852",0.004568,0.004556,0.750929956523197,0.99480136050258,0.87767573333695
