ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,EXP_MGMT,EXP_MSH6,RPPA_MSH2_MSH2,RPPA_MSH6_Caution_MSH6,qval_S.emp.onlySynergy,qval_S.emp,is_synergistic,synergy_count_across_doses
NCIH1299_LUNG,ACH-000510,temozolomide,O6-benzylguanine,3.704,5,1,1,0.789766362014927,1.18862162443395,1.17721853114437,0.789766362014927,0.210233637985073,0.340502173515696,1,1,3.86987140617771,5.54627713209007,0.290367,0.200047,0.0449910017996401,0.0899820035992802,1,6
NCIH1299_LUNG,ACH-000510,temozolomide,O6-benzylguanine,33.33,5,0.935370235286187,1,0.567209017509134,0.935370235286187,1.17721853114437,0.567209017509134,0.368161217777053,0.721657052252611,0.935370235286187,0.935370235286187,3.86987140617771,5.54627713209007,0.290367,0.200047,0.000799840031993626,0.00159968006398725,1,6
NCIH1341_LUNG,ACH-000129,temozolomide,O6-benzylguanine,0.1372,5,0.937069242894151,1,0.926069562935646,0.937069242894151,1.06867399200073,0.926069562935646,0.0109996799585047,0.017035089449176,0.937069242894151,0.937069242894151,4.05658352836637,6.31306441494636,1.303922,1.537168,0.265246950609878,0.530493901219756,0,3
NCIH1341_LUNG,ACH-000129,temozolomide,O6-benzylguanine,0.4115,5,0.946947957532145,1,0.601466033216826,0.946947957532145,1.06867399200073,0.601466033216826,0.345481924315319,0.654801874158351,0.946947957532145,0.946947957532145,4.05658352836637,6.31306441494636,1.303922,1.537168,0.0237952409518096,0.0475904819036193,1,3
NCIH1341_LUNG,ACH-000129,temozolomide,O6-benzylguanine,1.235,5,1,1,0.978348345703392,1.24990296708328,1.06867399200073,0.978348345703392,0.0216516542966075,0.0315798596287589,1,1,4.05658352836637,6.31306441494636,1.303922,1.537168,0.251849630073985,0.50369926014797,0,3
NCIH1341_LUNG,ACH-000129,temozolomide,O6-benzylguanine,100,5,1,1,0.486142805784419,1.08705721162389,1.06867399200073,0.486142805784419,0.513857194215581,1.04054792316784,1,1,4.05658352836637,6.31306441494636,1.303922,1.537168,0.00089982003599276,0.00179964007198552,1,3
NCIH1341_LUNG,ACH-000129,temozolomide,O6-benzylguanine,11.11,5,0.765460563566746,1,0.714498747256417,0.765460563566746,1.06867399200073,0.714498747256417,0.0509618163103285,0.099396570350188,0.765460563566746,0.765460563566746,4.05658352836637,6.31306441494636,1.303922,1.537168,0.22245550889822,0.444911017796441,0,3
NCIH1341_LUNG,ACH-000129,temozolomide,O6-benzylguanine,3.704,5,0.865274912981734,1,0.807235616704586,0.865274912981734,1.06867399200073,0.807235616704586,0.0580392962771475,0.100168744862215,0.865274912981734,0.865274912981734,4.05658352836637,6.31306441494636,1.303922,1.537168,0.21875624875025,0.4375124975005,0,3
NCIH1341_LUNG,ACH-000129,temozolomide,O6-benzylguanine,33.33,5,0.997683931411659,1,0.612556015101523,0.997683931411659,1.06867399200073,0.612556015101523,0.385127916310136,0.703741061602744,0.997683931411659,0.997683931411659,4.05658352836637,6.31306441494636,1.303922,1.537168,0.0113977204559088,0.0227954409118176,1,3
NCIH1355_LUNG,ACH-000666,temozolomide,O6-benzylguanine,0.1372,5,0.780564643451276,0.93229585378359,0.752512283054906,0.780564643451276,0.93229585378359,0.752512283054906,0,0,0.72771718069969,0.780564643451276,4.00898878322726,5.9387562614923,0.398743,0.297569,0.27124575084983,0.54249150169966,0,2
NCIH1355_LUNG,ACH-000666,temozolomide,O6-benzylguanine,0.4115,5,0.887047948430489,0.93229585378359,0.725661148183137,0.887047948430489,0.93229585378359,0.725661148183137,0.101329976245848,0.188575815573902,0.826991124428984,0.887047948430489,4.00898878322726,5.9387562614923,0.398743,0.297569,0.0990801839632074,0.198160367926415,1,2
NCIH1355_LUNG,ACH-000666,temozolomide,O6-benzylguanine,1.235,5,0.806551294219526,0.93229585378359,0.952505674863886,0.806551294219526,0.93229585378359,0.952505674863886,-0.14595438064436,-0.239961400625095,0.751944427464652,0.806551294219526,4.00898878322726,5.9387562614923,0.398743,0.297569,0.827734453109378,0.344531093781244,0,2
NCIH1355_LUNG,ACH-000666,temozolomide,O6-benzylguanine,100,5,0.757567859178988,0.93229585378359,0.628715599543712,0.757567859178988,0.93229585378359,0.628715599543712,0.0775617745285687,0.167827320457482,0.706277374072281,0.757567859178988,4.00898878322726,5.9387562614923,0.398743,0.297569,0.130173965206959,0.260347930413917,0,2
NCIH1355_LUNG,ACH-000666,temozolomide,O6-benzylguanine,11.11,5,1,0.93229585378359,0.645998065255289,1.01243927237859,0.93229585378359,0.645998065255289,0.286297788528301,0.529258006763613,0.93229585378359,0.93229585378359,4.00898878322726,5.9387562614923,0.398743,0.297569,0.00529894021195765,0.0105978804239153,1,2
NCIH1355_LUNG,ACH-000666,temozolomide,O6-benzylguanine,3.704,5,0.920327398877321,0.93229585378359,0.885663624014163,0.920327398877321,0.93229585378359,0.885663624014163,0,0,0.858017418096762,0.920327398877321,4.00898878322726,5.9387562614923,0.398743,0.297569,0.27124575084983,0.54249150169966,0,2
