"","ccle_name","pert1","pert2","dose1","dose2","combination.fitted"
"143","HCC827_LUNG","AZD5991","A-1331852",0.04111,0.01367,0.646816856808837
"144","HCC827_LUNG","AZD5991","A-1331852",0.1233,0.01367,0.539670722033365
"145","HCC827_LUNG","AZD5991","A-1331852",0.37,0.01367,0.371065182421001
"146","HCC827_LUNG","AZD5991","A-1331852",0.004568,0.041,0.787072380735617
"147","HCC827_LUNG","AZD5991","A-1331852",0.0137,0.041,0.642379849431479
"148","HCC827_LUNG","AZD5991","A-1331852",0.04111,0.041,0.576514226739685
"149","HCC827_LUNG","AZD5991","A-1331852",0.1233,0.041,0.415915327919574
"150","HCC827_LUNG","AZD5991","A-1331852",0.37,0.041,0.244548039178376
"151","ONCODG1_OVARY","AZD5991","A-1331852",0.004568,0.000506,0.853925335052772
"152","ONCODG1_OVARY","AZD5991","A-1331852",0.0137,0.000506,0.844155984216271
"153","ONCODG1_OVARY","AZD5991","A-1331852",0.04111,0.000506,0.770034846299521
"154","ONCODG1_OVARY","AZD5991","A-1331852",0.1233,0.000506,0.716000597110774
"155","ONCODG1_OVARY","AZD5991","A-1331852",0.37,0.000506,0.494356042775089
"156","ONCODG1_OVARY","AZD5991","A-1331852",0.004568,0.001519,0.717370879287931
"157","ONCODG1_OVARY","AZD5991","A-1331852",0.0137,0.001519,0.674391651524248
"158","ONCODG1_OVARY","AZD5991","A-1331852",0.04111,0.001519,0.602963889919172
"159","ONCODG1_OVARY","AZD5991","A-1331852",0.1233,0.001519,0.551190746851211
"160","ONCODG1_OVARY","AZD5991","A-1331852",0.37,0.001519,0.385747331050191
"161","ONCODG1_OVARY","AZD5991","A-1331852",0.004568,0.004556,0.545444570699988
"162","ONCODG1_OVARY","AZD5991","A-1331852",0.0137,0.004556,0.491937206417951
"163","ONCODG1_OVARY","AZD5991","A-1331852",0.04111,0.004556,0.442629513405535
"164","ONCODG1_OVARY","AZD5991","A-1331852",0.1233,0.004556,0.372178380384045
"165","ONCODG1_OVARY","AZD5991","A-1331852",0.37,0.004556,0.261312874693197
"166","ONCODG1_OVARY","AZD5991","A-1331852",0.004568,0.01367,0.53277826091618
"167","ONCODG1_OVARY","AZD5991","A-1331852",0.0137,0.01367,0.417063442088211
"168","ONCODG1_OVARY","AZD5991","A-1331852",0.04111,0.01367,0.338714090057514
"169","ONCODG1_OVARY","AZD5991","A-1331852",0.1233,0.01367,0.215861613419184
"170","ONCODG1_OVARY","AZD5991","A-1331852",0.37,0.01367,0.128004332925458
"171","ONCODG1_OVARY","AZD5991","A-1331852",0.004568,0.041,0.467792078278605
"172","ONCODG1_OVARY","AZD5991","A-1331852",0.0137,0.041,0.305302203120929
"173","ONCODG1_OVARY","AZD5991","A-1331852",0.04111,0.041,0.220548337179742
"174","ONCODG1_OVARY","AZD5991","A-1331852",0.1233,0.041,0.0999390404579248
"175","ONCODG1_OVARY","AZD5991","A-1331852",0.37,0.041,0.0513687149118348
"176","NCIH1581_LUNG","AZD5991","A-1331852",0.004568,0.000506,1
"177","NCIH1581_LUNG","AZD5991","A-1331852",0.0137,0.000506,0.702190993031761
"178","NCIH1581_LUNG","AZD5991","A-1331852",0.04111,0.000506,0.858987471981104
"179","NCIH1581_LUNG","AZD5991","A-1331852",0.1233,0.000506,0.21685040646065
"180","NCIH1581_LUNG","AZD5991","A-1331852",0.37,0.000506,2.76688129199588e-08
"181","NCIH1581_LUNG","AZD5991","A-1331852",0.004568,0.001519,0.871748403055736
"182","NCIH1581_LUNG","AZD5991","A-1331852",0.0137,0.001519,0.529156968901662
"183","NCIH1581_LUNG","AZD5991","A-1331852",0.04111,0.001519,0.494369821693692
"184","NCIH1581_LUNG","AZD5991","A-1331852",0.1233,0.001519,0.166375586403002
"185","NCIH1581_LUNG","AZD5991","A-1331852",0.37,0.001519,0.0385255423494164
"186","NCIH1581_LUNG","AZD5991","A-1331852",0.004568,0.004556,0.972553723786378
"187","NCIH1581_LUNG","AZD5991","A-1331852",0.0137,0.004556,0.699548025470221
"188","NCIH1581_LUNG","AZD5991","A-1331852",0.04111,0.004556,0.503819604019706
"189","NCIH1581_LUNG","AZD5991","A-1331852",0.1233,0.004556,0.110082673410595
"190","NCIH1581_LUNG","AZD5991","A-1331852",0.37,0.004556,0.0139622809396991
"191","NCIH1581_LUNG","AZD5991","A-1331852",0.004568,0.01367,1
"192","NCIH1581_LUNG","AZD5991","A-1331852",0.0137,0.01367,0.859777865922525
"193","NCIH1581_LUNG","AZD5991","A-1331852",0.04111,0.01367,0.470662923557424
"194","NCIH1581_LUNG","AZD5991","A-1331852",0.1233,0.01367,0.0269421785510818
"195","NCIH1581_LUNG","AZD5991","A-1331852",0.37,0.01367,1.57084929649667e-17
"196","NCIH1581_LUNG","AZD5991","A-1331852",0.004568,0.041,1
"197","NCIH1581_LUNG","AZD5991","A-1331852",0.0137,0.041,0.899916277126134
"198","NCIH1581_LUNG","AZD5991","A-1331852",0.04111,0.041,0.607689770166349
"199","NCIH1581_LUNG","AZD5991","A-1331852",0.1233,0.041,0.0148770996361213
"200","NCIH1581_LUNG","AZD5991","A-1331852",0.37,0.041,1.19937145782275e-17
"201","T24_URINARY_TRACT","AZD5991","A-1331852",0.004568,0.000506,0.874032319160102
"202","T24_URINARY_TRACT","AZD5991","A-1331852",0.0137,0.000506,0.96331121631955
"203","T24_URINARY_TRACT","AZD5991","A-1331852",0.04111,0.000506,0.964753254945502
"204","T24_URINARY_TRACT","AZD5991","A-1331852",0.1233,0.000506,0.956343582636308
"205","T24_URINARY_TRACT","AZD5991","A-1331852",0.37,0.000506,0.894038550416512
"206","T24_URINARY_TRACT","AZD5991","A-1331852",0.004568,0.001519,0.7304365171484
"207","T24_URINARY_TRACT","AZD5991","A-1331852",0.0137,0.001519,0.833244160600541
"208","T24_URINARY_TRACT","AZD5991","A-1331852",0.04111,0.001519,0.85776206976713
"209","T24_URINARY_TRACT","AZD5991","A-1331852",0.1233,0.001519,0.862533882524363
"210","T24_URINARY_TRACT","AZD5991","A-1331852",0.37,0.001519,0.850036019307661
"211","T24_URINARY_TRACT","AZD5991","A-1331852",0.004568,0.004556,0.643720350004361
"212","T24_URINARY_TRACT","AZD5991","A-1331852",0.0137,0.004556,0.736286070806306
"213","T24_URINARY_TRACT","AZD5991","A-1331852",0.04111,0.004556,0.776121105197267
"214","T24_URINARY_TRACT","AZD5991","A-1331852",0.1233,0.004556,0.785866739251437
"215","T24_URINARY_TRACT","AZD5991","A-1331852",0.37,0.004556,0.75235030897151
"216","T24_URINARY_TRACT","AZD5991","A-1331852",0.004568,0.01367,0.671854430869026
"217","T24_URINARY_TRACT","AZD5991","A-1331852",0.0137,0.01367,0.695194173701218
"218","T24_URINARY_TRACT","AZD5991","A-1331852",0.04111,0.01367,0.70832096485707
"219","T24_URINARY_TRACT","AZD5991","A-1331852",0.1233,0.01367,0.681850121042932
"220","T24_URINARY_TRACT","AZD5991","A-1331852",0.37,0.01367,0.58367314688138
"221","T24_URINARY_TRACT","AZD5991","A-1331852",0.004568,0.041,0.722831286728331
"222","T24_URINARY_TRACT","AZD5991","A-1331852",0.0137,0.041,0.667562397013018
"223","T24_URINARY_TRACT","AZD5991","A-1331852",0.04111,0.041,0.645234599186143
"224","T24_URINARY_TRACT","AZD5991","A-1331852",0.1233,0.041,0.563877377165353
"225","T24_URINARY_TRACT","AZD5991","A-1331852",0.37,0.041,0.383378395443279
"226","MCF7_BREAST","AZD5991","A-1331852",0.004568,0.000506,0.886859458544358
"227","MCF7_BREAST","AZD5991","A-1331852",0.0137,0.000506,0.913916520469474
"228","MCF7_BREAST","AZD5991","A-1331852",0.04111,0.000506,0.864214892902378
"229","MCF7_BREAST","AZD5991","A-1331852",0.1233,0.000506,0.587730936512589
"230","MCF7_BREAST","AZD5991","A-1331852",0.37,0.000506,0.529769196668969
"231","MCF7_BREAST","AZD5991","A-1331852",0.004568,0.001519,0.919968629336504
"232","MCF7_BREAST","AZD5991","A-1331852",0.0137,0.001519,0.962926025657433
"233","MCF7_BREAST","AZD5991","A-1331852",0.04111,0.001519,0.915689251111879
"234","MCF7_BREAST","AZD5991","A-1331852",0.1233,0.001519,0.628256785629686
"235","MCF7_BREAST","AZD5991","A-1331852",0.37,0.001519,0.424737314216605
"236","MCF7_BREAST","AZD5991","A-1331852",0.004568,0.004556,0.917552659385433
"237","MCF7_BREAST","AZD5991","A-1331852",0.0137,0.004556,0.962173372897936
"238","MCF7_BREAST","AZD5991","A-1331852",0.04111,0.004556,0.91889874826663
"239","MCF7_BREAST","AZD5991","A-1331852",0.1233,0.004556,0.6370457664941
"240","MCF7_BREAST","AZD5991","A-1331852",0.37,0.004556,0.287873439168192
"241","MCF7_BREAST","AZD5991","A-1331852",0.004568,0.01367,0.850355658210624
"242","MCF7_BREAST","AZD5991","A-1331852",0.0137,0.01367,0.839609953756089
"243","MCF7_BREAST","AZD5991","A-1331852",0.04111,0.01367,0.735107832351875
"244","MCF7_BREAST","AZD5991","A-1331852",0.1233,0.01367,0.53249200275393
"245","MCF7_BREAST","AZD5991","A-1331852",0.37,0.01367,0.284152740398908
"246","MCF7_BREAST","AZD5991","A-1331852",0.004568,0.041,0.89660829214827
"247","MCF7_BREAST","AZD5991","A-1331852",0.0137,0.041,0.88815149432179
"248","MCF7_BREAST","AZD5991","A-1331852",0.04111,0.041,0.752078306368957
"249","MCF7_BREAST","AZD5991","A-1331852",0.1233,0.041,0.527209913788494
"250","MCF7_BREAST","AZD5991","A-1331852",0.37,0.041,0.167360423148768
"251","NCIH1693_LUNG","AZD5991","A-1331852",0.004568,0.000506,0.920464260683323
"252","NCIH1693_LUNG","AZD5991","A-1331852",0.0137,0.000506,0.931491093450087
"253","NCIH1693_LUNG","AZD5991","A-1331852",0.04111,0.000506,0.971787354713415
"254","NCIH1693_LUNG","AZD5991","A-1331852",0.1233,0.000506,0.950355819249602
"255","NCIH1693_LUNG","AZD5991","A-1331852",0.37,0.000506,0.857120072340655
"256","NCIH1693_LUNG","AZD5991","A-1331852",0.004568,0.001519,0.868244666893238
"257","NCIH1693_LUNG","AZD5991","A-1331852",0.0137,0.001519,0.905196316820091
"258","NCIH1693_LUNG","AZD5991","A-1331852",0.04111,0.001519,0.930654675144108
"259","NCIH1693_LUNG","AZD5991","A-1331852",0.1233,0.001519,0.885717860488311
"260","NCIH1693_LUNG","AZD5991","A-1331852",0.37,0.001519,0.546674592005679
"261","NCIH1693_LUNG","AZD5991","A-1331852",0.004568,0.004556,0.65502082763838
"262","NCIH1693_LUNG","AZD5991","A-1331852",0.0137,0.004556,0.689762495000451
"263","NCIH1693_LUNG","AZD5991","A-1331852",0.04111,0.004556,0.626909591071141
"264","NCIH1693_LUNG","AZD5991","A-1331852",0.1233,0.004556,0.561897580408165
"265","NCIH1693_LUNG","AZD5991","A-1331852",0.37,0.004556,0.375033560165499
"266","NCIH1693_LUNG","AZD5991","A-1331852",0.004568,0.01367,0.490186064236375
"267","NCIH1693_LUNG","AZD5991","A-1331852",0.0137,0.01367,0.566035968981462
"268","NCIH1693_LUNG","AZD5991","A-1331852",0.04111,0.01367,0.434706678722778
"269","NCIH1693_LUNG","AZD5991","A-1331852",0.1233,0.01367,0.403356660824796
"270","NCIH1693_LUNG","AZD5991","A-1331852",0.37,0.01367,0.24776996540152
"271","NCIH1693_LUNG","AZD5991","A-1331852",0.004568,0.041,0.381360347246135
"272","NCIH1693_LUNG","AZD5991","A-1331852",0.0137,0.041,0.483436885757193
"273","NCIH1693_LUNG","AZD5991","A-1331852",0.04111,0.041,0.287946261999458
"274","NCIH1693_LUNG","AZD5991","A-1331852",0.1233,0.041,0.278969099431444
"275","NCIH1693_LUNG","AZD5991","A-1331852",0.37,0.041,0.165365613339743
"276","PATU8988S_PANCREAS","AZD5991","A-1331852",0.004568,0.000506,0.839878939208719
"277","PATU8988S_PANCREAS","AZD5991","A-1331852",0.0137,0.000506,0.929728403933113
"278","PATU8988S_PANCREAS","AZD5991","A-1331852",0.04111,0.000506,0.839102958630341
"279","PATU8988S_PANCREAS","AZD5991","A-1331852",0.1233,0.000506,0.930339779476751
"280","PATU8988S_PANCREAS","AZD5991","A-1331852",0.37,0.000506,0.874949554218714
"281","PATU8988S_PANCREAS","AZD5991","A-1331852",0.004568,0.001519,0.729534638802707
