"","ccle_name","XPR_GPX4","culture","pert1","pert2","dose1","dose2","anchor.fitted","library.fitted","combination.fitted","S"
"93","CH157MN_CENTRAL_NERVOUS_SYSTEM",-0.910402873650801,"PR300","ML210","ferrostatin-1",0.04115,10,1,0.956028997786774,0.980178519442306,-0.0241495216555321
"94","CH157MN_CENTRAL_NERVOUS_SYSTEM",-0.910402873650801,"PR300","ML210","ferrostatin-1",0.1235,10,1,0.404916615527019,0.966855923211512,-0.561939307684494
"95","CH157MN_CENTRAL_NERVOUS_SYSTEM",-0.910402873650801,"PR300","ML210","ferrostatin-1",0.3704,10,1,0.0208941346749839,0.945097361710699,-0.924203227035715
"96","CH157MN_CENTRAL_NERVOUS_SYSTEM",-0.910402873650801,"PR300","ML210","ferrostatin-1",1.111,10,1,0.00066863344340098,0.910375173685905,-0.909706540242504
"97","CH157MN_CENTRAL_NERVOUS_SYSTEM",-0.910402873650801,"PR300","ML210","ferrostatin-1",10,10,1,6.56774423817057e-07,0.779541987177098,-0.779541330402674
"98","CH157MN_CENTRAL_NERVOUS_SYSTEM",-0.910402873650801,"PR300","ML210","ferrostatin-1",3.333,10,1,2.09655805640981e-05,0.857005218987848,-0.856984253407284
"99","PC14_LUNG",-0.359344418865808,"PR500","ML210","ferrostatin-1",0.01372,10,1,0.965444040987018,1,-0.0345559590129817
"100","PC14_LUNG",-0.359344418865808,"PR500","ML210","ferrostatin-1",0.04115,10,1,0.9449622957887,1,-0.0550377042113001
"101","PC14_LUNG",-0.359344418865808,"PR500","ML210","ferrostatin-1",0.1235,10,1,0.913406617873016,1,-0.0865933821269842
"102","PC14_LUNG",-0.359344418865808,"PR500","ML210","ferrostatin-1",0.3704,10,1,0.866352729805006,1,-0.133647270194994
"103","PC14_LUNG",-0.359344418865808,"PR500","ML210","ferrostatin-1",1.111,10,1,0.799340667365699,1,-0.200659332634301
"104","PC14_LUNG",-0.359344418865808,"PR500","ML210","ferrostatin-1",10,10,1,0.600645567271387,1,-0.399354432728613
"105","PC14_LUNG",-0.359344418865808,"PR500","ML210","ferrostatin-1",3.333,10,1,0.709959904205148,1,-0.290040095794852
"106","NCIH1650_LUNG",-0.814555045488365,"PR500","ML210","ferrostatin-1",0.01372,10,1,0.966241239727852,0.829793611097608,0.0981387866174988
"107","NCIH1650_LUNG",-0.814555045488365,"PR500","ML210","ferrostatin-1",0.04115,10,1,0.935510040473758,0.843312204929829,0.0642555523089027
"108","NCIH1650_LUNG",-0.814555045488365,"PR500","ML210","ferrostatin-1",0.1235,10,1,0.880227911632555,0.855950684786057,0.00648145416430046
"109","NCIH1650_LUNG",-0.814555045488365,"PR500","ML210","ferrostatin-1",0.3704,10,1,0.788351239854351,0.867722658168246,-0.0793714183138956
"110","NCIH1650_LUNG",-0.814555045488365,"PR500","ML210","ferrostatin-1",1.111,10,1,0.653709579319812,0.878669835256272,-0.224960255936461
"111","NCIH1650_LUNG",-0.814555045488365,"PR500","ML210","ferrostatin-1",10,10,1,0.326477654028629,0.898236323312555,-0.571758669283926
"112","NCIH1650_LUNG",-0.814555045488365,"PR500","ML210","ferrostatin-1",3.333,10,1,0.488912768069409,0.888828708196943,-0.399915940127534
"113","U343_CENTRAL_NERVOUS_SYSTEM",-1.21437810811773,"PR300","ML210","ferrostatin-1",0.01372,10,0.908842465701353,0.822488672086849,0.931760866239059,-0.109272194152211
"114","U343_CENTRAL_NERVOUS_SYSTEM",-1.21437810811773,"PR300","ML210","ferrostatin-1",0.04115,10,0.908842465701353,0.806011859046846,0.908443155888375,-0.102431296841529
"115","U343_CENTRAL_NERVOUS_SYSTEM",-1.21437810811773,"PR300","ML210","ferrostatin-1",0.1235,10,0.908842465701353,0.788388388434382,0.878179059095811,-0.0897906706614288
"116","U343_CENTRAL_NERVOUS_SYSTEM",-1.21437810811773,"PR300","ML210","ferrostatin-1",0.3704,10,0.908842465701353,0.769633355352021,0.839703062643529,-0.0700697072915086
"117","U343_CENTRAL_NERVOUS_SYSTEM",-1.21437810811773,"PR300","ML210","ferrostatin-1",1.111,10,0.908842465701353,0.749742042180576,0.791949430930514,-0.0422073887499385
"118","U343_CENTRAL_NERVOUS_SYSTEM",-1.21437810811773,"PR300","ML210","ferrostatin-1",10,10,0.908842465701353,0.706652501137301,0.667738568717251,0
"119","U343_CENTRAL_NERVOUS_SYSTEM",-1.21437810811773,"PR300","ML210","ferrostatin-1",3.333,10,0.908842465701353,0.728735013033197,0.734458047385225,-0.0057230343520277
"120","S117_THYROID",-1.23668519219912,"PR500","ML210","ferrostatin-1",0.01372,10,0.924521510462575,1,1,-0.0754784895374245
"121","S117_THYROID",-1.23668519219912,"PR500","ML210","ferrostatin-1",0.04115,10,0.924521510462575,1,1,-0.0754784895374245
"122","S117_THYROID",-1.23668519219912,"PR500","ML210","ferrostatin-1",0.1235,10,0.924521510462575,1,1,-0.0754784895374245
"123","S117_THYROID",-1.23668519219912,"PR500","ML210","ferrostatin-1",0.3704,10,0.924521510462575,1,1,-0.0754784895374245
"124","S117_THYROID",-1.23668519219912,"PR500","ML210","ferrostatin-1",1.111,10,0.924521510462575,3.16556527195937e-17,0.999999999997841,-0.999999999997841
"125","S117_THYROID",-1.23668519219912,"PR500","ML210","ferrostatin-1",10,10,0.924521510462575,1.49105273684242e-139,0.964304268314631,-0.964304268314631
"126","S117_THYROID",-1.23668519219912,"PR500","ML210","ferrostatin-1",3.333,10,0.924521510462575,2.18653191578386e-78,0.999999717447933,-0.999999717447933
"127","SKNMC_BONE",-1.1520452998372,"PR300","ML210","ferrostatin-1",0.01372,10,1,0.737340782916036,1,-0.262659217083964
"128","SKNMC_BONE",-1.1520452998372,"PR300","ML210","ferrostatin-1",0.04115,10,1,0.581069419414629,1,-0.418930580585371
"129","SKNMC_BONE",-1.1520452998372,"PR300","ML210","ferrostatin-1",0.1235,10,1,0.406542139666859,1,-0.593457860333141
"130","SKNMC_BONE",-1.1520452998372,"PR300","ML210","ferrostatin-1",0.3704,10,1,0.252884099207241,1,-0.747115900792759
"131","SKNMC_BONE",-1.1520452998372,"PR300","ML210","ferrostatin-1",1.111,10,1,0.143274252393983,0.99999999999995,-0.856725747605967
"132","SKNMC_BONE",-1.1520452998372,"PR300","ML210","ferrostatin-1",10,10,1,0.0392113276955923,0.646089953985534,-0.606878626289942
"133","SKNMC_BONE",-1.1520452998372,"PR300","ML210","ferrostatin-1",3.333,10,1,0.0763122284619906,0.999999834225535,-0.923687605763544
"134","U118MG_CENTRAL_NERVOUS_SYSTEM",-0.756376144863517,"PR500","ML210","ferrostatin-1",0.01372,10,1,0.982616443677287,0.950136880827859,0
"135","U118MG_CENTRAL_NERVOUS_SYSTEM",-0.756376144863517,"PR500","ML210","ferrostatin-1",0.04115,10,1,0.918978527050411,0.934085841750555,-0.0151073147001445
"136","U118MG_CENTRAL_NERVOUS_SYSTEM",-0.756376144863517,"PR500","ML210","ferrostatin-1",0.1235,10,1,0.694545211620162,0.913325377140513,-0.218780165520352
"137","U118MG_CENTRAL_NERVOUS_SYSTEM",-0.756376144863517,"PR500","ML210","ferrostatin-1",0.3704,10,1,0.313318422467696,0.886836702773566,-0.57351828030587
"138","U118MG_CENTRAL_NERVOUS_SYSTEM",-0.756376144863517,"PR500","ML210","ferrostatin-1",1.111,10,1,0.0838701468382807,0.853547825740554,-0.769677678902273
"139","U118MG_CENTRAL_NERVOUS_SYSTEM",-0.756376144863517,"PR500","ML210","ferrostatin-1",10,10,1,0.0036694531103916,0.763203935259998,-0.759534482149607
"140","U118MG_CENTRAL_NERVOUS_SYSTEM",-0.756376144863517,"PR500","ML210","ferrostatin-1",3.333,10,1,0.0180323801622183,0.812529055605373,-0.794496675443155
"141","RDES_BONE",-1.13741403463332,"PR300","ML210","ferrostatin-1",0.01372,10,0.842095138397277,0.999999906549822,0.763312685645742,0.0787823740575951
"142","RDES_BONE",-1.13741403463332,"PR300","ML210","ferrostatin-1",0.04115,10,0.842095138397277,0.999988570737171,0.794202377198311,0.0478831366723026
"143","RDES_BONE",-1.13741403463332,"PR300","ML210","ferrostatin-1",0.1235,10,0.842095138397277,0.99860012522919,0.822016283524199,0.0189000271342148
"144","RDES_BONE",-1.13741403463332,"PR300","ML210","ferrostatin-1",0.3704,10,0.842095138397277,0.85365676975761,0.84678192175438,-0.00468678335710315
"145","RDES_BONE",-1.13741403463332,"PR300","ML210","ferrostatin-1",1.111,10,0.842095138397277,0.0455112493336468,0.86865384113406,-0.823142591800413
"146","RDES_BONE",-1.13741403463332,"PR300","ML210","ferrostatin-1",10,10,0.842095138397277,3.17941268303509e-06,0.904498492787754,-0.904495313375071
"147","RDES_BONE",-1.13741403463332,"PR300","ML210","ferrostatin-1",3.333,10,0.842095138397277,0.000389290712681255,0.887820104812744,-0.887430814100063
"148","PANC0203_PANCREAS",-0.388760703266563,"PR500","ML210","ferrostatin-1",0.01372,10,0.758623899405099,0.99975521644443,1,-0.241376100594901
"149","PANC0203_PANCREAS",-0.388760703266563,"PR500","ML210","ferrostatin-1",0.04115,10,0.758623899405099,0.999036559382874,1,-0.241376100594901
"150","PANC0203_PANCREAS",-0.388760703266563,"PR500","ML210","ferrostatin-1",0.1235,10,0.758623899405099,0.996212941990598,1,-0.241376100594901
"151","PANC0203_PANCREAS",-0.388760703266563,"PR500","ML210","ferrostatin-1",0.3704,10,0.758623899405099,0.985248507533957,1,-0.241376100594901
"152","PANC0203_PANCREAS",-0.388760703266563,"PR500","ML210","ferrostatin-1",1.111,10,0.758623899405099,0.944307978281423,1,-0.241376100594901
"153","PANC0203_PANCREAS",-0.388760703266563,"PR500","ML210","ferrostatin-1",10,10,0.758623899405099,0.522028973789065,1,-0.477971026210935
"154","PANC0203_PANCREAS",-0.388760703266563,"PR500","ML210","ferrostatin-1",3.333,10,0.758623899405099,0.811449553023113,1,-0.241376100594901
"155","TOV112D_OVARY",0.0173973749561368,"PR500","ML210","ferrostatin-1",0.01372,10,0.949012873911915,0.980295345141982,0.841344358251848,0.0889685445238172
"156","TOV112D_OVARY",0.0173973749561368,"PR500","ML210","ferrostatin-1",0.04115,10,0.949012873911915,0.959630941562856,0.842072375606909,0.0686297421404537
"157","TOV112D_OVARY",0.0173973749561368,"PR500","ML210","ferrostatin-1",0.1235,10,0.949012873911915,0.919051995949544,0.842798103571587,0.0293940723789716
"158","TOV112D_OVARY",0.0173973749561368,"PR500","ML210","ferrostatin-1",0.3704,10,0.949012873911915,0.844360876022761,0.843520673150749,0
"159","TOV112D_OVARY",0.0173973749561368,"PR500","ML210","ferrostatin-1",1.111,10,0.949012873911915,0.721614410609459,0.844240594124552,-0.122626183515092
"160","TOV112D_OVARY",0.0173973749561368,"PR500","ML210","ferrostatin-1",10,10,0.949012873911915,0.371698314581894,0.845672629144735,-0.473974314562841
"161","TOV112D_OVARY",0.0173973749561368,"PR500","ML210","ferrostatin-1",3.333,10,0.949012873911915,0.553248945341719,0.844957929027195,-0.291708983685476
"162","A673_BONE",-1.24299338054447,"PR500","ML210","ferrostatin-1",0.01372,10,0.931084375439366,0.999996874858897,0.94526410037178,-0.0141797249324147
"163","A673_BONE",-1.24299338054447,"PR500","ML210","ferrostatin-1",0.04115,10,0.931084375439366,0.999721734773015,0.923309066330023,0.00751622070426916
"164","A673_BONE",-1.24299338054447,"PR500","ML210","ferrostatin-1",0.1235,10,0.931084375439366,0.975746427564473,0.893519252278364,0.0149830008176951
"165","A673_BONE",-1.24299338054447,"PR500","ML210","ferrostatin-1",0.3704,10,0.931084375439366,0.311177217125384,0.85401545194061,-0.542838234815226
"166","A673_BONE",-1.24299338054447,"PR500","ML210","ferrostatin-1",1.111,10,0.931084375439366,0.00504525361492065,0.803081107909823,-0.798035854294902
"167","A673_BONE",-1.24299338054447,"PR500","ML210","ferrostatin-1",10,10,0.931084375439366,6.3770762191917e-07,0.664618221914034,-0.664617584206412
"168","A673_BONE",-1.24299338054447,"PR500","ML210","ferrostatin-1",3.333,10,0.931084375439366,5.68741393461538e-05,0.739778946270948,-0.739722072131602
"169","KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-1.55388926651636,"PR300","ML210","ferrostatin-1",0.01372,10,0.872864496154204,0.891207913781214,0.968144743272552,-0.0952802471183481
"170","KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-1.55388926651636,"PR300","ML210","ferrostatin-1",0.04115,10,0.872864496154204,0.741203252348753,0.952732768092101,-0.211529515743347
