"","ccle_name","GE_MGMT","culture","pert1","pert2","dose1","dose2","library.fitted","combination.fitted","S"
"81","YKG1_CENTRAL_NERVOUS_SYSTEM",4.68537955195908,"PR500","temozolomide","O6-benzylguanine",100,5,0.99680800479022,0.718626897123191,0.24773281526092
"82","YKG1_CENTRAL_NERVOUS_SYSTEM",4.68537955195908,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.984191902901579,0.759495688786432,0.194633290563907
"83","YKG1_CENTRAL_NERVOUS_SYSTEM",4.68537955195908,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.965281957264504,0.778340618271178,0.157456034754305
"84","YKG1_CENTRAL_NERVOUS_SYSTEM",4.68537955195908,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.992879056373815,0.739581304586262,0.222969472232119
"85","MKN1_STOMACH",4.00180224263399,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.499302181508144,0.899705167950825,0
"86","MKN1_STOMACH",4.00180224263399,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.686801652470506,0.860929888418246,0
"87","MKN1_STOMACH",4.00180224263399,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.828306708176099,0.810290362593551,0.0180163455825481
"88","MKN1_STOMACH",4.00180224263399,"PR500","temozolomide","O6-benzylguanine",100,5,0.991217044319868,0.492004578976842,0.499212465343025
"89","MKN1_STOMACH",4.00180224263399,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.958896895337038,0.670412128706185,0.288484766630853
"90","MKN1_STOMACH",4.00180224263399,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.913856149214741,0.746681095929583,0.167175053285158
"91","MKN1_STOMACH",4.00180224263399,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.980882984056412,0.583959616993257,0.396923367063156
"92","LK2_LUNG",0.137503523749935,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.844312627330346,0.797167286489446,0.043483419110154
"93","LK2_LUNG",0.137503523749935,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.78133855051156,0.758264136605737,0.0214598622121212
"94","LK2_LUNG",0.137503523749935,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.701834482474438,0.714543915976779,-0.0127094335023407
"95","LK2_LUNG",0.137503523749935,"PR500","temozolomide","O6-benzylguanine",100,5,0.307263657488612,0.503860214532642,-0.19659655704403
"96","LK2_LUNG",0.137503523749935,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.505414094668425,0.614568087174856,-0.10915399250643
"97","LK2_LUNG",0.137503523749935,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.607989767997241,0.666426127079738,-0.058436359082497
"98","LK2_LUNG",0.137503523749935,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.402364166157361,0.559962146364211,-0.157597980206851
"99","SW837_LARGE_INTESTINE",4.96162332828694,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.856100716053332,0.808331935533583,0.0477687805197489
"100","SW837_LARGE_INTESTINE",4.96162332828694,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.91520909423511,0.797970153565028,0.117238940670082
"101","SW837_LARGE_INTESTINE",4.96162332828694,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.951432101301804,0.787189196771272,0.164242904530533
"102","SW837_LARGE_INTESTINE",4.96162332828694,"PR500","temozolomide","O6-benzylguanine",100,5,0.995312243356671,0.739971423058568,0.255340820298103
"103","SW837_LARGE_INTESTINE",4.96162332828694,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.984728908947662,0.764400579077769,0.220328329869893
"104","SW837_LARGE_INTESTINE",4.96162332828694,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.972633315857584,0.776001434558712,0.196631881298872
"105","SW837_LARGE_INTESTINE",4.96162332828694,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.991525865157156,0.752388623105062,0.239137242052094
