ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,XPR_GPX4,antagonism_count_across_doses
RERFLCAD2_LUNG,ACH-000774,ML210,ferrostatin-1,3.333,10,0.393191369801612,0.999011861963242,0.863446440244232,0.393191369801612,0.999011861963242,0.863446440244232,-0.47025507044262,-1.134875033705,0.392802842453386,0.393191369801612,-0.818021501892887,1
RERFLCAI_LUNG,ACH-000261,ML210,ferrostatin-1,0.01372,10,1,1,0.973522292253021,1.01117673200893,1.2481474162498,0.973522292253021,0.0264777077469788,0.0387140799328947,1,1,-1.02292411041692,0
RERFLCAI_LUNG,ACH-000261,ML210,ferrostatin-1,0.04115,10,0.890382755493089,1,1,0.890382755493089,1.2481474162498,1.01500411032753,-0.109617244506911,-0.167502443363734,0.890382755493089,0.890382755493089,-1.02292411041692,0
RERFLCAI_LUNG,ACH-000261,ML210,ferrostatin-1,0.1235,10,0.494013978534914,1,0.96394141871155,0.494013978534914,1.2481474162498,0.96394141871155,-0.469927440176636,-0.964393608058317,0.494013978534914,0.494013978534914,-1.02292411041692,0
RERFLCAI_LUNG,ACH-000261,ML210,ferrostatin-1,0.3704,10,0.284397021103986,1,0.808624429541967,0.284397021103986,1.2481474162498,0.808624429541967,-0.524227408437981,-1.50756343623399,0.284397021103986,0.284397021103986,-1.02292411041692,0
RERFLCAI_LUNG,ACH-000261,ML210,ferrostatin-1,1.111,10,0.191920049887361,1,0.763284193077017,0.191920049887361,1.2481474162498,0.763284193077017,-0.571364143189656,-1.99171487697801,0.191920049887361,0.191920049887361,-1.02292411041692,0
RERFLCAI_LUNG,ACH-000261,ML210,ferrostatin-1,10,10,0.0744427609085076,1,1,0.0744427609085076,1.2481474162498,1.00032645722698,-0.925557239091492,-3.74772462718867,0.0744427609085076,0.0744427609085076,-1.02292411041692,0
RERFLCAI_LUNG,ACH-000261,ML210,ferrostatin-1,3.333,10,0.153548468772387,1,1,0.153548468772387,1.2481474162498,1.11421091310245,-0.846451531227613,-2.70323396945406,0.153548468772387,0.153548468772387,-1.02292411041692,0
RERFLCKJ_LUNG,ACH-000482,ML210,ferrostatin-1,0.01372,10,1,1,0.884414758612347,1.10131102406805,1.20947034958296,0.884414758612347,0.115585241387653,0.177204994654994,1,1,NA,0
RERFLCKJ_LUNG,ACH-000482,ML210,ferrostatin-1,0.04115,10,1,1,1,1.17216810323947,1.20947034958296,1.23943499058238,0,0,1,1,NA,0
RERFLCKJ_LUNG,ACH-000482,ML210,ferrostatin-1,0.1235,10,0.614083237463596,1,1,0.614083237463596,1.20947034958296,1.12686909876972,-0.385916762536404,-0.703493872293733,0.614083237463596,0.614083237463596,NA,0
RERFLCKJ_LUNG,ACH-000482,ML210,ferrostatin-1,0.3704,10,0.604732167002133,1,1,0.604732167002133,1.20947034958296,1.14346415461705,-0.395267832997867,-0.725631773810603,0.604732167002133,0.604732167002133,NA,0
RERFLCKJ_LUNG,ACH-000482,ML210,ferrostatin-1,1.111,10,0.750665822222696,1,1,0.750665822222696,1.20947034958296,1.45172983554302,-0.249334177777304,-0.413757296228166,0.750665822222696,0.750665822222696,NA,0
RERFLCKJ_LUNG,ACH-000482,ML210,ferrostatin-1,10,10,0.622407393635829,1,1,0.622407393635829,1.20947034958296,1.02995619229811,-0.377592606364171,-0.684068896551708,0.622407393635829,0.622407393635829,NA,0
RERFLCKJ_LUNG,ACH-000482,ML210,ferrostatin-1,3.333,10,0.550423358621912,1,1,0.550423358621912,1.20947034958296,1.38269237453847,-0.449576641378088,-0.861386399097124,0.550423358621912,0.550423358621912,NA,0
RERFLCMS_LUNG,ACH-000062,ML210,ferrostatin-1,0.01372,10,1,1,1,1.11498627753151,1.03705331259921,1.1461715722904,0,0,1,1,NA,0
RERFLCMS_LUNG,ACH-000062,ML210,ferrostatin-1,0.04115,10,1,1,0.96870565291024,1.31906642553602,1.03705331259921,0.96870565291024,0.0312943470897604,0.0458697343005377,1,1,NA,0
RERFLCMS_LUNG,ACH-000062,ML210,ferrostatin-1,0.1235,10,0.770470288667037,1,0.846801614147779,0.770470288667037,1.03705331259921,0.846801614147779,-0.0763313254807424,-0.136284695620496,0.770470288667037,0.770470288667037,NA,0
RERFLCMS_LUNG,ACH-000062,ML210,ferrostatin-1,0.3704,10,0.545277071676389,1,0.985357352788317,0.545277071676389,1.03705331259921,0.985357352788317,-0.440080281111928,-0.853657538842271,0.545277071676389,0.545277071676389,NA,0
RERFLCMS_LUNG,ACH-000062,ML210,ferrostatin-1,1.111,10,0.237055702335049,1,0.841047732662543,0.237055702335049,1.03705331259921,0.841047732662543,-0.603992030327494,-1.82696158397477,0.237055702335049,0.237055702335049,NA,0
RERFLCMS_LUNG,ACH-000062,ML210,ferrostatin-1,10,10,0.123373115783869,1,0.994443914551084,0.123373115783869,1.03705331259921,0.994443914551084,-0.871070798767215,-3.01086195578908,0.123373115783869,0.123373115783869,NA,0
RERFLCMS_LUNG,ACH-000062,ML210,ferrostatin-1,3.333,10,0.391495526123315,1,1,0.391495526123315,1.03705331259921,1.01807032475905,-0.608504473876685,-1.35293227390128,0.391495526123315,0.391495526123315,NA,0
RH28_SOFT_TISSUE,ACH-001740,ML210,ferrostatin-1,0.01372,10,1,1,0.761846122031859,1.01977452335488,1.21454883141756,0.761846122031859,0.238153877968141,0.392428463835103,1,1,-1.50530353745419,1
