ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,XPR_GPX4,qval_S.emp.onlyAntagonism,qval_S.emp,is_antagonistic,antagonism_count_across_doses
OE19_OESOPHAGUS,ACH-000679,ML210,ferrostatin-1,3.333,10,0.883450513520583,0.74279016722988,0.894203813211086,0.883450513520583,0.74279016722988,0.894203813211086,-0.151413645981207,-0.267648980512839,0.656218354677277,0.74279016722988,NA,0.2169,0.4338,0,5
OE21_OESOPHAGUS,ACH-000544,ML210,ferrostatin-1,0.01372,10,1,0.948466061437064,1,1.43910625851986,0.948466061437064,1.28358782264014,-0.0515339385629359,-0.0763319436780686,0.948466061437064,0.948466061437064,0.0597666232114607,0.4538,0.9076,0,0
OE21_OESOPHAGUS,ACH-000544,ML210,ferrostatin-1,0.04115,10,0.863267690825753,0.948466061437064,1,0.863267690825753,0.948466061437064,1.3335397126482,-0.136732309174247,-0.212120100555219,0.818780106683372,0.863267690825753,0.0597666232114607,0.3127,0.6254,0,0
OE21_OESOPHAGUS,ACH-000544,ML210,ferrostatin-1,0.1235,10,1,0.948466061437064,1,1.35073015285879,0.948466061437064,1.00538369722285,-0.0515339385629359,-0.0763319436780686,0.948466061437064,0.948466061437064,0.0597666232114607,0.4538,0.9076,0,0
OE21_OESOPHAGUS,ACH-000544,ML210,ferrostatin-1,0.3704,10,0.905271073462185,0.948466061437064,1,0.905271073462185,0.948466061437064,1.01540788444975,-0.0947289265378151,-0.143578238843992,0.858618889579582,0.905271073462185,0.0597666232114607,0.3788,0.7576,0,0
OE21_OESOPHAGUS,ACH-000544,ML210,ferrostatin-1,1.111,10,0.989160788216182,0.948466061437064,1,0.989160788216182,0.948466061437064,1.12876268972661,-0.0515339385629359,-0.0763319436780686,0.938185436927384,0.948466061437064,0.0597666232114607,0.4538,0.9076,0,0
OE21_OESOPHAGUS,ACH-000544,ML210,ferrostatin-1,10,10,1,0.948466061437064,1,1.29938089691132,0.948466061437064,1.0240466123695,-0.0515339385629359,-0.0763319436780686,0.948466061437064,0.948466061437064,0.0597666232114607,0.4538,0.9076,0,0
OE21_OESOPHAGUS,ACH-000544,ML210,ferrostatin-1,3.333,10,0.786170865431222,0.948466061437064,0.963135548768685,0.786170865431222,0.948466061437064,0.963135548768685,-0.176964683337463,-0.292895952702084,0.745656384352119,0.786170865431222,0.0597666232114607,0.2385,0.477,0,0
OE33_OESOPHAGUS,ACH-000383,ML210,ferrostatin-1,0.01372,10,1,0.800744789161778,0.709462080583996,1.00439396466514,0.800744789161778,0.709462080583996,0.0912827085777819,0.174616927702295,0.800744789161778,0.800744789161778,-0.0297865024614425,0.8188,0.3624,0,0
OE33_OESOPHAGUS,ACH-000383,ML210,ferrostatin-1,0.04115,10,0.908399730016192,0.800744789161778,1,0.908399730016192,0.800744789161778,1.01836622423509,-0.199255210838222,-0.320585590179533,0.727396350286432,0.800744789161778,-0.0297865024614425,0.2428,0.4856,0,0
OE33_OESOPHAGUS,ACH-000383,ML210,ferrostatin-1,0.1235,10,0.970459914524317,0.800744789161778,0.988668310764143,0.970459914524317,0.800744789161778,0.988668310764143,-0.187923521602365,-0.304144086370243,0.777090719645731,0.800744789161778,-0.0297865024614425,0.2601,0.5202,0,0
OE33_OESOPHAGUS,ACH-000383,ML210,ferrostatin-1,0.3704,10,0.976007745016502,0.800744789161778,0.736402575875564,0.976007745016502,0.800744789161778,0.736402575875564,0.0451305401279364,0.0858123328980555,0.781533116003501,0.800744789161778,-0.0297865024614425,0.7678,0.4644,0,0
OE33_OESOPHAGUS,ACH-000383,ML210,ferrostatin-1,1.111,10,0.771978330347483,0.800744789161778,0.872344138155712,0.771978330347483,0.800744789161778,0.872344138155712,-0.100365807808228,-0.17633703663116,0.618157625371556,0.771978330347483,-0.0297865024614425,0.4038,0.8076,0,0
OE33_OESOPHAGUS,ACH-000383,ML210,ferrostatin-1,10,10,1,0.800744789161778,0.691124765251885,1.04445965289135,0.800744789161778,0.691124765251885,0.109620023909893,0.212396328157813,0.800744789161778,0.800744789161778,-0.0297865024614425,0.8374,0.3252,0,0
OE33_OESOPHAGUS,ACH-000383,ML210,ferrostatin-1,3.333,10,0.939342883708934,0.800744789161778,0.769521733312842,0.939342883708934,0.800744789161778,0.769521733312842,0,0,0.752173919366126,0.800744789161778,-0.0297865024614425,0.7237,1.4474,0,0
ONCODG1_OVARY,ACH-000013,ML210,ferrostatin-1,0.01372,10,0.932030565899413,1,1,0.932030565899413,1.08606782199134,1.15035345070234,-0.0679694341005868,-0.101550826114661,0.932030565899413,0.932030565899413,-1.0322896882967,0.4395,0.879,0,2
ONCODG1_OVARY,ACH-000013,ML210,ferrostatin-1,0.04115,10,0.732771493938101,1,1,0.732771493938101,1.08606782199134,1.18755102903195,-0.267228506061899,-0.448564713660549,0.732771493938101,0.732771493938101,-1.0322896882967,0.1023,0.2046,0,2
ONCODG1_OVARY,ACH-000013,ML210,ferrostatin-1,0.1235,10,0.878160640118729,1,0.872793649602052,0.878160640118729,1.08606782199134,0.872793649602052,0.005366990516677,0.00884426840566904,0.878160640118729,0.878160640118729,-1.0322896882967,0.734,0.532,0,2
ONCODG1_OVARY,ACH-000013,ML210,ferrostatin-1,0.3704,10,0.912630124063271,1,0.922660244201716,0.912630124063271,1.08606782199134,0.922660244201716,-0.0100301201384446,-0.015769219849088,0.912630124063271,0.912630124063271,-1.0322896882967,0.5589,1.1178,0,2
