x,rho,beta,p.val,n,ns,feature.set,feature,q.val,y,detected_count,neg_log10_qval
EXP_PEX5L,0.143801396331321,0.0309687484144876,0.000320798835579088,622,10,EXP,PEX5L,0.0834130233376062,temozolomide::O6-benzylguanine::3.704::5,4,1.07876613734667
EXP_NEUROG1,0.143797694493113,0.0806302671724259,0.000320914265578242,622,3,EXP,NEUROG1,0.0834130233376062,temozolomide::O6-benzylguanine::3.704::5,3,1.07876613734667
EXP_KRBA2,0.144005603047603,0.0389533973421383,0.000314491025072203,622,24,EXP,KRBA2,0.0834130233376062,temozolomide::O6-benzylguanine::3.704::5,3,1.07876613734667
EXP_ELOVL4,0.144605145445177,0.0171354229685614,0.000296634389363035,622,22,EXP,ELOVL4,0.0808328711014271,temozolomide::O6-benzylguanine::3.704::5,4,1.09241199522889
EXP_EXOC5,0.145379743148729,0.0311430704699435,0.000274965034290624,622,22,EXP,EXOC5,0.0761562992514768,temozolomide::O6-benzylguanine::3.704::5,4,1.11829416827002
EXP_CD3E,0.145650015748921,0.0192731829305628,0.000267759070878516,622,6,EXP,CD3E,0.0753964917082088,temozolomide::O6-benzylguanine::3.704::5,1,1.1226488619182
EXP_TMCO4,-0.146127142844211,-0.0215787268453758,0.000255467273343082,622,23,EXP,TMCO4,0.0731545692056165,temozolomide::O6-benzylguanine::3.704::5,4,1.13575854282899
EXP_TRIM65,0.146502675742671,0.0313580625268769,0.000246166160126157,622,28,EXP,TRIM65,0.0719022385071605,temozolomide::O6-benzylguanine::3.704::5,4,1.14325758866894
EXP_SPTBN4,0.146475104608862,0.0230931170065694,0.000246838107926328,622,22,EXP,SPTBN4,0.0719022385071605,temozolomide::O6-benzylguanine::3.704::5,4,1.14325758866894
EXP_GLP1R,0.146875215990695,0.0551920875915645,0.000237253032051589,622,9,EXP,GLP1R,0.071578392437707,temozolomide::O6-benzylguanine::3.704::5,4,1.14521805955419
EXP_PANX3,0.147196628033699,0.0718026178753504,0.000229806812516205,622,6,EXP,PANX3,0.0705924744992962,temozolomide::O6-benzylguanine::3.704::5,1,1.15124159438206
EXP_CALN1,0.147394352055909,0.0381932773054713,0.000225335403359774,622,10,EXP,CALN1,0.0705007711067293,temozolomide::O6-benzylguanine::3.704::5,4,1.15180613285873
EXP_ACSL6,0.14860598190515,0.0328288569767246,0.000199665933668124,622,15,EXP,ACSL6,0.0645864160573544,temozolomide::O6-benzylguanine::3.704::5,3,1.18985881407427
EXP_CARMIL3,0.148822861751053,0.0311251214542969,0.000195370787526757,622,16,EXP,CARMIL3,0.0645864160573544,temozolomide::O6-benzylguanine::3.704::5,4,1.18985881407427
EXP_DPF3,0.14845988174248,0.0226315246573333,0.000202609058954707,622,25,EXP,DPF3,0.0645864160573544,temozolomide::O6-benzylguanine::3.704::5,4,1.18985881407427
EXP_TMOD2,0.149056788835347,0.0228756789511021,0.000190835206876975,622,20,EXP,TMOD2,0.06448321640373,temozolomide::O6-benzylguanine::3.704::5,4,1.1905533081826
